vaccine,geographic_level,geographic_name,demographic_level,demographic_name,indicator_label,month_week,curr_week_ending,prev_week_ending,curr_season,prev_season,curr_est,past_est,curr_ci_halfwidth_95pct,past_ci_halfwidth_95pct,difference_estimate,significance,curr_ci_95,past_ci_95,diff_ci_95,difference_indicator,estimate,binrangetext,binrangeorder
COVID,State,Utah,Overall,6 months-17 years,Up-to-date,February Week 2,2025-02-08,2024-02-10,2024-2025,2023-2024,13.7,12.6,5.9831,2.4402,1.0271,6.4616,7.7 to 19.6,10.2 to 15.1,-5.4 to 7.5,Similar to Last Season,0.1366,13.4 - 15.4,4
COVID,State,Vermont,Overall,6 months-17 years,Up-to-date,February Week 2,2025-02-08,2024-02-10,2024-2025,2023-2024,36.4,28.4,8.3197,5.0586,7.9586,9.7369,28.0 to 44.7,23.3 to 33.5,-1.8 to 17.7,Similar to Last Season,0.3635,15.5 - 36.4,5
COVID,State,Virginia,Overall,6 months-17 years,Up-to-date,February Week 2,2025-02-08,2024-02-10,2024-2025,2023-2024,17,14.3,3.8933,1.7028,2.7565,4.2494,13.1 to 20.9,12.5 to 16.0,-1.5 to 7.0,Similar to Last Season,0.1701,15.5 - 36.4,5
COVID,State,Washington,Overall,6 months-17 years,Up-to-date,February Week 2,2025-02-08,2024-02-10,2024-2025,2023-2024,21.6,19.1,6.5379,2.6098,2.5958,7.0395,15.1 to 28.2,16.4 to 21.7,-4.4 to 9.6,Similar to Last Season,0.2165,15.5 - 36.4,5
COVID,State,West Virginia,Overall,6 months-17 years,Up-to-date,February Week 2,2025-02-08,2024-02-10,2024-2025,2023-2024,4.9,8.6,1.7698,1.7866,-3.6865,2.5148,3.1 to 6.7,6.8 to 10.4,-6.2 to -1.2,Lower than Last Season,0.0489,2.7 - 7.3,1
COVID,State,Wisconsin,Overall,6 months-17 years,Up-to-date,February Week 2,2025-02-08,2024-02-10,2024-2025,2023-2024,13.1,15.5,4.2442,2.9175,-2.3912,5.1502,8.8 to 17.3,12.6 to 18.4,-7.5 to 2.8,Similar to Last Season,0.1309,10.5 - 13.3,3
COVID,State,Wyoming,Overall,6 months-17 years,Up-to-date,February Week 2,2025-02-08,2024-02-10,2024-2025,2023-2024,9.3,9.2,4.6083,2.1108,0.16,5.0687,4.7 to 14.0,7.1 to 11.3,-4.9 to 5.2,Similar to Last Season,0.0935,7.4 - 10.4,2
COVID,Substate,Illinois-City of Chicago,Overall,6 months-17 years,Up-to-date,February Week 2,2025-02-08,2024-02-10,2024-2025,2023-2024,15.6,18.4,4.9063,2.9605,-2.746,5.7303,10.7 to 20.6,15.4 to 21.4,-8.5 to 3.0,Similar to Last Season,0.1565,15.5 - 36.4,5
COVID,Substate,Illinois-Rest of State,Overall,6 months-17 years,Up-to-date,February Week 2,2025-02-08,2024-02-10,2024-2025,2023-2024,12.9,13.6,2.7989,1.7964,-0.7694,3.3258,10.1 to 15.7,11.8 to 15.4,-4.1 to 2.6,Similar to Last Season,0.1286,10.5 - 13.3,3
COVID,Substate,New York-New York City,Overall,6 months-17 years,Up-to-date,February Week 2,2025-02-08,2024-02-10,2024-2025,2023-2024,10.8,14.2,4.3975,2.4391,-3.3329,5.0286,6.4 to 15.2,11.7 to 16.6,-8.4 to 1.7,Similar to Last Season,0.1085,10.5 - 13.3,3
COVID,Substate,New York-Rest of State,Overall,6 months-17 years,Up-to-date,February Week 2,2025-02-08,2024-02-10,2024-2025,2023-2024,14.5,14.2,6.1397,2.1097,0.349,6.4921,8.4 to 20.7,12.1 to 16.3,-6.1 to 6.8,Similar to Last Season,0.1452,13.4 - 15.4,4
COVID,Substate,Pennsylvania-Philadelphia County,Overall,6 months-17 years,Up-to-date,February Week 2,2025-02-08,2024-02-10,2024-2025,2023-2024,15.1,17.7,4.4947,3.3976,-2.5638,5.6344,10.7 to 19.6,14.3 to 21.1,-8.2 to 3.1,Similar to Last Season,0.1515,13.4 - 15.4,4
COVID,Substate,Pennsylvania-Rest of State,Overall,6 months-17 years,Up-to-date,February Week 2,2025-02-08,2024-02-10,2024-2025,2023-2024,13.7,11.7,4.4607,1.588,2.0062,4.7349,9.2 to 18.1,10.1 to 13.2,-2.7 to 6.7,Similar to Last Season,0.1366,13.4 - 15.4,4
COVID,Substate,Texas-Bexar County,Overall,6 months-17 years,Up-to-date,February Week 2,2025-02-08,2024-02-10,2024-2025,2023-2024,12.6,10.2,4.9258,1.8737,2.3115,5.2701,7.6 to 17.5,8.4 to 12.1,-3.0 to 7.6,Similar to Last Season,0.1256,10.5 - 13.3,3
COVID,Substate,Texas-City of Houston,Overall,6 months-17 years,Up-to-date,February Week 2,2025-02-08,2024-02-10,2024-2025,2023-2024,10.4,10.5,2.3853,1.9207,-0.0323,3.0625,8.0 to 12.8,8.5 to 12.4,-3.1 to 3.0,Similar to Last Season,0.1042,7.4 - 10.4,2
COVID,Substate,Texas-Rest of State,Overall,6 months-17 years,Up-to-date,February Week 2,2025-02-08,2024-02-10,2024-2025,2023-2024,11.1,8.7,3.3679,1.2979,2.3845,3.6093,7.7 to 14.5,7.4 to 10.0,-1.2 to 6.0,Similar to Last Season,0.111,10.5 - 13.3,3
COVID,State,Mississippi,Overall,6 months-17 years,Up-to-date,January Week 2,2025-01-11,2024-01-13,2024-2025,2023-2024,2.7,5.7,1.5891,1.7979,-3.0046,2.3995,1.1 to 4.2,3.9 to 7.5,-5.4 to -0.6,Lower than Last Season,0.0265,2.7 - 6.4,1
COVID,State,Missouri,Overall,6 months-17 years,Up-to-date,January Week 2,2025-01-11,2024-01-13,2024-2025,2023-2024,9.2,10.5,3.1865,2.0002,-1.3568,3.7623,6.0 to 12.4,8.5 to 12.5,-5.1 to 2.4,Similar to Last Season,0.0918,6.5 - 10.1,2
COVID,State,Montana,Overall,6 months-17 years,Up-to-date,January Week 2,2025-01-11,2024-01-13,2024-2025,2023-2024,11.2,9.2,4.7155,1.7748,1.9839,5.0384,6.5 to 15.9,7.4 to 11.0,-3.1 to 7.0,Similar to Last Season,0.1117,10.2 - 12.2,3
COVID,State,Nebraska,Overall,6 months-17 years,Up-to-date,January Week 2,2025-01-11,2024-01-13,2024-2025,2023-2024,15.1,11.4,5.1213,2.4248,3.652,5.6663,10.0 to 20.2,9.0 to 13.9,-2.0 to 9.3,Similar to Last Season,0.1509,12.3 - 15.1,4
COVID,State,Nevada,Overall,6 months-17 years,Up-to-date,January Week 2,2025-01-11,2024-01-13,2024-2025,2023-2024,12.1,8,5.2671,2.0066,4.1241,5.6364,6.8 to 17.3,5.9 to 10.0,-1.5 to 9.8,Similar to Last Season,0.1208,10.2 - 12.2,3
COVID,State,New Hampshire,Overall,6 months-17 years,Up-to-date,January Week 2,2025-01-11,2024-01-13,2024-2025,2023-2024,17.5,18.3,4.3428,2.7351,-0.7635,5.1323,13.2 to 21.9,15.6 to 21.0,-5.9 to 4.4,Similar to Last Season,0.1754,15.2 - 33.6,5
COVID,State,New Jersey,Overall,6 months-17 years,Up-to-date,January Week 2,2025-01-11,2024-01-13,2024-2025,2023-2024,9.5,10.9,2.5649,1.8488,-1.4321,3.1618,6.9 to 12.0,9.0 to 12.7,-4.6 to 1.7,Similar to Last Season,0.0945,6.5 - 10.1,2
COVID,State,New Mexico,Overall,6 months-17 years,Up-to-date,January Week 2,2025-01-11,2024-01-13,2024-2025,2023-2024,14.4,16,4.4814,2.5004,-1.6257,5.1318,9.9 to 18.9,13.5 to 18.5,-6.8 to 3.5,Similar to Last Season,0.1438,12.3 - 15.1,4
COVID,State,New York,Overall,6 months-17 years,Up-to-date,January Week 2,2025-01-11,2024-01-13,2024-2025,2023-2024,10.4,14,2.4341,1.6183,-3.5831,2.923,8.0 to 12.9,12.4 to 15.6,-6.5 to -0.7,Lower than Last Season,0.1045,10.2 - 12.2,3
COVID,State,North Carolina,Overall,6 months-17 years,Up-to-date,January Week 2,2025-01-11,2024-01-13,2024-2025,2023-2024,9.6,10.7,3.1278,1.9132,-1.1549,3.6665,6.4 to 12.7,8.8 to 12.6,-4.8 to 2.5,Similar to Last Season,0.0958,6.5 - 10.1,2
COVID,State,North Dakota,Overall,6 months-17 years,Up-to-date,January Week 2,2025-01-11,2024-01-13,2024-2025,2023-2024,12.3,8.4,6.0889,2.0175,3.8432,6.4144,6.2 to 18.4,6.4 to 10.4,-2.6 to 10.3,Similar to Last Season,0.1227,12.3 - 15.1,4
COVID,State,Ohio,Overall,6 months-17 years,Up-to-date,January Week 2,2025-01-11,2024-01-13,2024-2025,2023-2024,10,11.2,3.7125,2.062,-1.2354,4.2467,6.2 to 13.7,9.1 to 13.3,-5.5 to 3.0,Similar to Last Season,0.0995,6.5 - 10.1,2
COVID,State,Oklahoma,Overall,6 months-17 years,Up-to-date,January Week 2,2025-01-11,2024-01-13,2024-2025,2023-2024,5.2,6.2,1.9667,1.4252,-1.0168,2.4288,3.2 to 7.2,4.8 to 7.6,-3.4 to 1.4,Similar to Last Season,0.052,2.7 - 6.4,1
COVID,State,Oregon,Overall,6 months-17 years,Up-to-date,January Week 2,2025-01-11,2024-01-13,2024-2025,2023-2024,18.5,18.4,3.5834,2.6224,0.0798,4.4405,14.9 to 22.1,15.8 to 21.1,-4.4 to 4.5,Similar to Last Season,0.1852,15.2 - 33.6,5
COVID,State,Pennsylvania,Overall,6 months-17 years,Up-to-date,January Week 2,2025-01-11,2024-01-13,2024-2025,2023-2024,10.8,11.4,2.2544,1.4081,-0.5594,2.658,8.6 to 13.1,10.0 to 12.8,-3.2 to 2.1,Similar to Last Season,0.1084,10.2 - 12.2,3
COVID,State,Puerto Rico,Overall,6 months-17 years,Up-to-date,January Week 2,2025-01-11,2024-01-13,2024-2025,2023-2024,4.5,4.9,1.9604,1.2007,-0.3798,2.2989,2.5 to 6.5,3.7 to 6.1,-2.7 to 1.9,Similar to Last Season,0.0449,2.7 - 6.4,1
COVID,State,Rhode Island,Overall,6 months-17 years,Up-to-date,January Week 2,2025-01-11,2024-01-13,2024-2025,2023-2024,15.9,17.2,5.1165,3.4893,-1.2067,6.193,10.8 to 21.1,13.7 to 20.6,-7.4 to 5.0,Similar to Last Season,0.1595,15.2 - 33.6,5
COVID,State,South Carolina,Overall,6 months-17 years,Up-to-date,January Week 2,2025-01-11,2024-01-13,2024-2025,2023-2024,3.1,6.4,1.1091,1.3474,-3.2714,1.7452,2.0 to 4.2,5.1 to 7.8,-5.0 to -1.5,Lower than Last Season,0.0314,2.7 - 6.4,1
COVID,State,South Dakota,Overall,6 months-17 years,Up-to-date,January Week 2,2025-01-11,2024-01-13,2024-2025,2023-2024,10.1,8.5,3.8038,2.151,1.6769,4.3699,6.3 to 13.9,6.3 to 10.6,-2.7 to 6.0,Similar to Last Season,0.1013,6.5 - 10.1,2
COVID,State,Tennessee,Overall,6 months-17 years,Up-to-date,January Week 2,2025-01-11,2024-01-13,2024-2025,2023-2024,5.8,7.9,2.6037,1.919,-2.1366,3.2345,3.2 to 8.4,6.0 to 9.8,-5.4 to 1.1,Similar to Last Season,0.0579,2.7 - 6.4,1
COVID,State,Texas,Overall,6 months-17 years,Up-to-date,January Week 2,2025-01-11,2024-01-13,2024-2025,2023-2024,10.7,8.9,1.9964,0.9836,1.7888,2.2256,8.7 to 12.7,7.9 to 9.9,-0.4 to 4.0,Similar to Last Season,0.1067,10.2 - 12.2,3
COVID,State,Utah,Overall,6 months-17 years,Up-to-date,January Week 2,2025-01-11,2024-01-13,2024-2025,2023-2024,11.6,12.5,4.4183,2.4541,-0.9666,5.0541,7.2 to 16.0,10.1 to 15.0,-6.0 to 4.1,Similar to Last Season,0.1158,10.2 - 12.2,3
COVID,State,Vermont,Overall,6 months-17 years,Up-to-date,January Week 2,2025-01-11,2024-01-13,2024-2025,2023-2024,32.9,27.2,7.3058,4.9153,5.7004,8.8054,25.6 to 40.2,22.3 to 32.1,-3.1 to 14.5,Similar to Last Season,0.3288,15.2 - 33.6,5
COVID,State,Virginia,Overall,6 months-17 years,Up-to-date,January Week 2,2025-01-11,2024-01-13,2024-2025,2023-2024,16,13.1,3.3731,1.6192,2.9554,3.7416,12.6 to 19.4,11.4 to 14.7,-0.8 to 6.7,Similar to Last Season,0.1601,15.2 - 33.6,5
COVID,State,Washington,Overall,6 months-17 years,Up-to-date,January Week 2,2025-01-11,2024-01-13,2024-2025,2023-2024,19.8,18.8,5.4849,2.7977,0.9179,6.1572,14.3 to 25.2,16.0 to 21.6,-5.2 to 7.1,Similar to Last Season,0.1976,15.2 - 33.6,5
COVID,State,West Virginia,Overall,6 months-17 years,Up-to-date,January Week 2,2025-01-11,2024-01-13,2024-2025,2023-2024,4.9,7.2,1.7698,1.4976,-2.3472,2.3184,3.1 to 6.7,5.7 to 8.7,-4.7 to 0.0,Lower than Last Season,0.0489,2.7 - 6.4,1
COVID,State,Wisconsin,Overall,6 months-17 years,Up-to-date,January Week 2,2025-01-11,2024-01-13,2024-2025,2023-2024,12.2,14.1,3.8666,2.6748,-1.9083,4.7016,8.3 to 16.1,11.4 to 16.8,-6.6 to 2.8,Similar to Last Season,0.1221,10.2 - 12.2,3
COVID,State,Wyoming,Overall,6 months-17 years,Up-to-date,January Week 2,2025-01-11,2024-01-13,2024-2025,2023-2024,9.3,8.7,4.6083,2.0774,0.6415,5.0549,4.7 to 14.0,6.6 to 10.8,-4.4 to 5.7,Similar to Last Season,0.0935,6.5 - 10.1,2
COVID,National,National,Mother's Education,Some college,Up-to-date,February Week 2,2025-02-08,2024-02-10,2024-2025,2023-2024,6.1,7.1,0.982,0.5895,-0.9272,1.1454,5.1 to 7.1,6.5 to 7.6,-2.1 to 0.2,Similar to Last Season,0.0613,2.7 - 7.3,1
COVID,National,National,Overall,6 months-17 years,Up-to-date,February Week 2,2025-02-08,2024-02-10,2024-2025,2023-2024,12.1,12.7,0.7964,0.3658,-0.6758,0.8764,11.3 to 12.9,12.4 to 13.1,-1.6 to 0.2,Similar to Last Season,0.1207,10.5 - 13.3,3
COVID,National,National,Poverty Status,"Above Poverty, Income < $75k",Up-to-date,February Week 2,2025-02-08,2024-02-10,2024-2025,2023-2024,7.9,8.3,1.4136,0.6489,-0.4287,1.5554,6.5 to 9.3,7.7 to 9.0,-2.0 to 1.1,Similar to Last Season,0.0791,7.4 - 10.4,2
COVID,National,National,Poverty Status,"Above Poverty, Income >= $75k",Up-to-date,February Week 2,2025-02-08,2024-02-10,2024-2025,2023-2024,15.5,16.5,1.0339,0.5723,-0.9648,1.1817,14.5 to 16.5,15.9 to 17.0,-2.1 to 0.2,Similar to Last Season,0.155,15.5 - 36.4,5
COVID,National,National,Poverty Status,Below Poverty,Up-to-date,February Week 2,2025-02-08,2024-02-10,2024-2025,2023-2024,9,9.4,2.9523,1.2444,-0.4054,3.2038,6.1 to 12.0,8.2 to 10.7,-3.6 to 2.8,Similar to Last Season,0.09,7.4 - 10.4,2
COVID,National,National,Mother's Education,Less than high school,Up-to-date,January Week 3,2025-01-18,2024-01-20,2024-2025,2023-2024,8.2,10.2,2.363,1.3669,-2.0287,2.7299,5.8 to 10.6,8.9 to 11.6,-4.8 to 0.7,Similar to Last Season,0.082,6.8 - 10.1,2
COVID,National,National,Mother's Education,Some college,Up-to-date,January Week 3,2025-01-18,2024-01-20,2024-2025,2023-2024,5.8,6.7,0.8824,0.6729,-0.9058,1.1097,4.9 to 6.7,6.0 to 7.4,-2.0 to 0.2,Similar to Last Season,0.0582,2.7 - 6.7,1
COVID,National,National,Overall,6 months-17 years,Up-to-date,January Week 3,2025-01-18,2024-01-20,2024-2025,2023-2024,11.5,12.1,0.6407,0.3919,-0.611,0.7511,10.9 to 12.2,11.7 to 12.5,-1.4 to 0.1,Similar to Last Season,0.1152,10.2 - 12.2,3
COVID,National,National,Poverty Status,"Above Poverty, Income < $75k",Up-to-date,January Week 3,2025-01-18,2024-01-20,2024-2025,2023-2024,7.2,7.5,1.1207,0.6058,-0.3784,1.274,6.0 to 8.3,6.9 to 8.1,-1.7 to 0.9,Similar to Last Season,0.0716,6.8 - 10.1,2
COVID,National,National,Poverty Status,"Above Poverty, Income >= $75k",Up-to-date,January Week 3,2025-01-18,2024-01-20,2024-2025,2023-2024,15.1,16,0.9604,0.6193,-0.8836,1.1428,14.2 to 16.1,15.4 to 16.6,-2.0 to 0.3,Similar to Last Season,0.1515,15.2 - 33.6,5
COVID,National,National,Poverty Status,Below Poverty,Up-to-date,January Week 3,2025-01-18,2024-01-20,2024-2025,2023-2024,7.6,7.6,1.6074,0.7652,-0.0145,1.7802,6.0 to 9.2,6.8 to 8.4,-1.8 to 1.8,Similar to Last Season,0.0758,6.8 - 10.1,2
COVID,National,National,Poverty Status,Poverty Status Unknown,Up-to-date,January Week 3,2025-01-18,2024-01-20,2024-2025,2023-2024,9.9,10.5,1.7032,0.9038,-0.5308,1.9281,8.2 to 11.6,9.6 to 11.4,-2.5 to 1.4,Similar to Last Season,0.0993,6.8 - 10.1,2
COVID,National,National,Race/Ethnicity,"Black, Non-Hispanic",Up-to-date,January Week 3,2025-01-18,2024-01-20,2024-2025,2023-2024,7.4,9.1,1.3803,0.8876,-1.641,1.6411,6.0 to 8.8,8.2 to 9.9,-3.3 to 0.0,Similar to Last Season,0.0742,6.8 - 10.1,2
COVID,National,National,Race/Ethnicity,Hispanic,Up-to-date,January Week 3,2025-01-18,2024-01-20,2024-2025,2023-2024,10.7,10.1,1.4209,0.6812,0.5822,1.5758,9.2 to 12.1,9.4 to 10.8,-1.0 to 2.2,Similar to Last Season,0.1066,10.2 - 12.2,3
COVID,National,National,Race/Ethnicity,"Other, Non-Hispanic",Up-to-date,January Week 3,2025-01-18,2024-01-20,2024-2025,2023-2024,13.1,13.3,1.9034,1.0463,-0.2298,2.172,11.2 to 15.0,12.2 to 14.3,-2.4 to 1.9,Similar to Last Season,0.1306,12.3 - 15.1,4
COVID,National,National,Race/Ethnicity,"White, Non-Hispanic",Up-to-date,January Week 3,2025-01-18,2024-01-20,2024-2025,2023-2024,12.5,13.5,0.8178,0.5733,-1.0732,0.9987,11.6 to 13.3,13.0 to 14.1,-2.1 to -0.1,Lower than Last Season,0.1246,12.3 - 15.1,4
COVID,National,National,Urbanicity,Rural (Non-MSA),Up-to-date,January Week 3,2025-01-18,2024-01-20,2024-2025,2023-2024,6.9,6.6,1.3231,0.6472,0.3789,1.4729,5.6 to 8.3,5.9 to 7.2,-1.1 to 1.9,Similar to Last Season,0.0693,6.8 - 10.1,2
COVID,National,National,Urbanicity,Suburban (MSA Non-Principal City),Up-to-date,January Week 3,2025-01-18,2024-01-20,2024-2025,2023-2024,11.5,12,0.8313,0.5422,-0.5068,0.9925,10.7 to 12.4,11.5 to 12.6,-1.5 to 0.5,Similar to Last Season,0.1154,10.2 - 12.2,3
COVID,National,National,Urbanicity,Urban (MSA Principal City),Up-to-date,January Week 3,2025-01-18,2024-01-20,2024-2025,2023-2024,13.8,14.1,1.3548,0.6667,-0.2877,1.51,12.4 to 15.2,13.4 to 14.8,-1.8 to 1.2,Similar to Last Season,0.138,12.3 - 15.1,4
COVID,Region,Region 1,Overall,6 months-17 years,Up-to-date,January Week 3,2025-01-18,2024-01-20,2024-2025,2023-2024,21.6,21.8,2.6095,1.5053,-0.148,3.0125,19.0 to 24.3,20.3 to 23.3,-3.2 to 2.9,Similar to Last Season,0.2164,15.2 - 33.6,5
COVID,Region,Region 10,Overall,6 months-17 years,Up-to-date,January Week 3,2025-01-18,2024-01-20,2024-2025,2023-2024,16.4,16.4,2.5334,1.5691,0.0238,2.98,13.9 to 19.0,14.8 to 18.0,-3.0 to 3.0,Similar to Last Season,0.1642,15.2 - 33.6,5
COVID,Region,Region 2,Overall,6 months-17 years,Up-to-date,January Week 3,2025-01-18,2024-01-20,2024-2025,2023-2024,10.1,13.1,1.8107,1.2567,-2.9998,2.2041,8.3 to 11.9,11.9 to 14.4,-5.2 to -0.8,Lower than Last Season,0.1012,6.8 - 10.1,2
COVID,Region,Region 3,Overall,6 months-17 years,Up-to-date,January Week 3,2025-01-18,2024-01-20,2024-2025,2023-2024,14.5,15,1.5138,1.1757,-0.4405,1.9167,13.0 to 16.0,13.8 to 16.2,-2.4 to 1.5,Similar to Last Season,0.1453,12.3 - 15.1,4
COVID,Region,Region 4,Overall,6 months-17 years,Up-to-date,January Week 3,2025-01-18,2024-01-20,2024-2025,2023-2024,6.3,7.8,1.0225,0.7954,-1.4605,1.2954,5.3 to 7.3,7.0 to 8.6,-2.8 to -0.2,Lower than Last Season,0.063,2.7 - 6.7,1
COVID,Region,Region 5,Overall,6 months-17 years,Up-to-date,January Week 3,2025-01-18,2024-01-20,2024-2025,2023-2024,13.3,12.7,1.5,0.8348,0.5254,1.7167,11.8 to 14.8,11.9 to 13.6,-1.2 to 2.2,Similar to Last Season,0.1326,12.3 - 15.1,4
COVID,Region,Region 6,Overall,6 months-17 years,Up-to-date,January Week 3,2025-01-18,2024-01-20,2024-2025,2023-2024,8.6,8.6,1.2138,0.7443,0.0278,1.4238,7.4 to 9.8,7.8 to 9.3,-1.4 to 1.5,Similar to Last Season,0.0862,6.8 - 10.1,2
COVID,Region,Region 7,Overall,6 months-17 years,Up-to-date,January Week 3,2025-01-18,2024-01-20,2024-2025,2023-2024,11.3,11,2.0883,1.2272,0.3256,2.4222,9.3 to 13.4,9.8 to 12.3,-2.1 to 2.7,Similar to Last Season,0.1135,10.2 - 12.2,3
COVID,Region,Region 8,Overall,6 months-17 years,Up-to-date,January Week 3,2025-01-18,2024-01-20,2024-2025,2023-2024,13.1,13.2,2.1058,1.184,-0.1087,2.4158,11.0 to 15.2,12.0 to 14.4,-2.5 to 2.3,Similar to Last Season,0.1309,12.3 - 15.1,4
COVID,Region,Region 9,Overall,6 months-17 years,Up-to-date,January Week 3,2025-01-18,2024-01-20,2024-2025,2023-2024,13.3,14.4,2.6527,1.3597,-1.1232,2.9809,10.6 to 15.9,13.0 to 15.7,-4.1 to 1.9,Similar to Last Season,0.1325,12.3 - 15.1,4
COVID,State,Alabama,Overall,6 months-17 years,Up-to-date,January Week 3,2025-01-18,2024-01-20,2024-2025,2023-2024,6.7,6.1,2.4665,1.369,0.5695,2.821,4.2 to 9.1,4.7 to 7.5,-2.3 to 3.4,Similar to Last Season,0.0667,2.7 - 6.7,1
COVID,State,Alaska,Overall,6 months-17 years,Up-to-date,January Week 3,2025-01-18,2024-01-20,2024-2025,2023-2024,5.8,8.6,2.4465,2.0324,-2.778,3.1806,3.4 to 8.3,6.6 to 10.6,-6.0 to 0.4,Similar to Last Season,0.0582,2.7 - 6.7,1
COVID,State,Arizona,Overall,6 months-17 years,Up-to-date,January Week 3,2025-01-18,2024-01-20,2024-2025,2023-2024,6.4,11.1,3.2945,2.3781,-4.7238,4.0631,3.1 to 9.7,8.7 to 13.5,-8.8 to -0.7,Lower than Last Season,0.064,2.7 - 6.7,1
COVID,State,Arkansas,Overall,6 months-17 years,Up-to-date,January Week 3,2025-01-18,2024-01-20,2024-2025,2023-2024,4.2,6.4,1.7164,1.514,-2.192,2.2887,2.5 to 5.9,4.9 to 7.9,-4.5 to 0.1,Similar to Last Season,0.0418,2.7 - 6.7,1
COVID,State,California,Overall,6 months-17 years,Up-to-date,January Week 3,2025-01-18,2024-01-20,2024-2025,2023-2024,14.8,15.6,3.492,1.7599,-0.8059,3.9104,11.3 to 18.3,13.8 to 17.3,-4.7 to 3.1,Similar to Last Season,0.1477,12.3 - 15.1,4
COVID,State,Colorado,Overall,6 months-17 years,Up-to-date,January Week 3,2025-01-18,2024-01-20,2024-2025,2023-2024,15.2,16.2,3.2842,2.0319,-0.9773,3.8619,11.9 to 18.5,14.1 to 18.2,-4.8 to 2.9,Similar to Last Season,0.152,15.2 - 33.6,5
COVID,State,Connecticut,Overall,6 months-17 years,Up-to-date,January Week 3,2025-01-18,2024-01-20,2024-2025,2023-2024,12.8,16.9,4.6536,2.9172,-4.1278,5.4924,8.1 to 17.4,14.0 to 19.8,-9.6 to 1.4,Similar to Last Season,0.1279,12.3 - 15.1,4
COVID,State,Delaware,Overall,6 months-17 years,Up-to-date,January Week 3,2025-01-18,2024-01-20,2024-2025,2023-2024,8.8,12.6,2.655,2.5997,-3.7843,3.7158,6.2 to 11.5,10.0 to 15.2,-7.5 to -0.1,Lower than Last Season,0.0883,6.8 - 10.1,2
COVID,State,District of Columbia,Overall,6 months-17 years,Up-to-date,January Week 3,2025-01-18,2024-01-20,2024-2025,2023-2024,33.6,31.6,4.2378,3.1764,2.0332,5.2961,29.4 to 37.8,28.4 to 34.7,-3.3 to 7.3,Similar to Last Season,0.3359,15.2 - 33.6,5
COVID,State,Florida,Overall,6 months-17 years,Up-to-date,January Week 3,2025-01-18,2024-01-20,2024-2025,2023-2024,4.2,7.5,2.1388,1.6162,-3.282,2.6808,2.1 to 6.3,5.9 to 9.1,-6.0 to -0.6,Lower than Last Season,0.0421,2.7 - 6.7,1
COVID,State,Georgia,Overall,6 months-17 years,Up-to-date,January Week 3,2025-01-18,2024-01-20,2024-2025,2023-2024,8.6,6.9,3.5512,1.5538,1.7156,3.8763,5.1 to 12.2,5.3 to 8.4,-2.2 to 5.6,Similar to Last Season,0.0861,6.8 - 10.1,2
COVID,State,Hawaii,Overall,6 months-17 years,Up-to-date,January Week 3,2025-01-18,2024-01-20,2024-2025,2023-2024,13.6,14.4,4.2949,2.9722,-0.7757,5.223,9.3 to 17.9,11.4 to 17.4,-6.0 to 4.4,Similar to Last Season,0.1363,12.3 - 15.1,4
COVID,State,Idaho,Overall,6 months-17 years,Up-to-date,January Week 3,2025-01-18,2024-01-20,2024-2025,2023-2024,6,6.9,2.9207,2.234,-0.9361,3.6771,3.1 to 8.9,4.7 to 9.2,-4.6 to 2.7,Similar to Last Season,0.0599,2.7 - 6.7,1
COVID,State,Illinois,Overall,6 months-17 years,Up-to-date,January Week 3,2025-01-18,2024-01-20,2024-2025,2023-2024,13.2,13.4,2.5216,1.4842,-0.2089,2.926,10.7 to 15.7,11.9 to 14.9,-3.1 to 2.7,Similar to Last Season,0.1323,12.3 - 15.1,4
COVID,State,Indiana,Overall,6 months-17 years,Up-to-date,January Week 3,2025-01-18,2024-01-20,2024-2025,2023-2024,6.2,9.4,1.9215,1.6942,-3.1865,2.5617,4.3 to 8.1,7.7 to 11.1,-5.7 to -0.6,Lower than Last Season,0.0618,2.7 - 6.7,1
COVID,State,Iowa,Overall,6 months-17 years,Up-to-date,January Week 3,2025-01-18,2024-01-20,2024-2025,2023-2024,13.6,10.1,5.207,2.2462,3.5115,5.6708,8.4 to 18.8,7.8 to 12.3,-2.2 to 9.2,Similar to Last Season,0.1358,12.3 - 15.1,4
COVID,State,Kansas,Overall,6 months-17 years,Up-to-date,January Week 3,2025-01-18,2024-01-20,2024-2025,2023-2024,9.5,12.7,3.1045,2.556,-3.2266,4.0213,6.4 to 12.6,10.2 to 15.3,-7.2 to 0.8,Similar to Last Season,0.0951,6.8 - 10.1,2
COVID,State,Kentucky,Overall,6 months-17 years,Up-to-date,January Week 3,2025-01-18,2024-01-20,2024-2025,2023-2024,9.5,8.7,4.3246,1.9028,0.8569,4.7247,5.2 to 13.9,6.8 to 10.6,-3.9 to 5.6,Similar to Last Season,0.0953,6.8 - 10.1,2
COVID,State,Louisiana,Overall,6 months-17 years,Up-to-date,January Week 3,2025-01-18,2024-01-20,2024-2025,2023-2024,5,4.7,2.2107,1.1832,0.2932,2.5074,2.8 to 7.2,3.5 to 5.9,-2.2 to 2.8,Similar to Last Season,0.0496,2.7 - 6.7,1
COVID,State,Maine,Overall,6 months-17 years,Up-to-date,January Week 3,2025-01-18,2024-01-20,2024-2025,2023-2024,18.1,18.6,4.1859,3.0903,-0.5343,5.203,13.9 to 22.3,15.6 to 21.7,-5.7 to 4.7,Similar to Last Season,0.1811,15.2 - 33.6,5
